district,date,month,year,visitors
Vikarabad,2018-10-01,October,2018,0.0
Vikarabad,2018-11-01,November,2018,0.0
Vikarabad,2018-12-01,December,2018,0.0
Wanaparthy,2018-01-01,January,2018,0.0
Wanaparthy,2018-02-01,February,2018,0.0
Wanaparthy,2018-03-01,March,2018,0.0
Wanaparthy,2018-04-01,April,2018,0.0
Wanaparthy,2018-05-01,May,2018,0.0
Wanaparthy,2018-06-01,June,2018,0.0
Wanaparthy,2018-07-01,July,2018,0.0
Wanaparthy,2018-08-01,August,2018,0.0
Wanaparthy,2018-09-01,September,2018,0.0
Wanaparthy,2018-10-01,October,2018,0.0
Wanaparthy,2018-11-01,November,2018,0.0
Wanaparthy,2018-12-01,December,2018,0.0
Warangal (Rural),2018-01-01,January,2018,0.0
Warangal (Rural),2018-02-01,February,2018,0.0
Warangal (Rural),2018-03-01,March,2018,0.0
Warangal (Rural),2018-04-01,April,2018,0.0
Warangal (Rural),2018-05-01,May,2018,0.0
Warangal (Rural),2018-06-01,June,2018,0.0
Warangal (Rural),2018-07-01,July,2018,0.0
Warangal (Rural),2018-08-01,August,2018,0.0
Warangal (Rural),2018-09-01,September,2018,0.0
Warangal (Rural),2018-10-01,October,2018,0.0
Warangal (Rural),2018-11-01,November,2018,0.0
Warangal (Rural),2018-12-01,December,2018,0.0
Warangal (Urban),2018-01-01,January,2018,150.0
Warangal (Urban),2018-02-01,February,2018,185.0
Warangal (Urban),2018-03-01,March,2018,160.0
Warangal (Urban),2018-04-01,April,2018,150.0
Warangal (Urban),2018-05-01,May,2018,140.0
Warangal (Urban),2018-06-01,June,2018,130.0
Warangal (Urban),2018-07-01,July,2018,130.0
Warangal (Urban),2018-08-01,August,2018,135.0
Warangal (Urban),2018-09-01,September,2018,145.0
Warangal (Urban),2018-10-01,October,2018,160.0
Warangal (Urban),2018-11-01,November,2018,170.0
Warangal (Urban),2018-12-01,December,2018,187.0
Yadadri Bhongir,2018-01-01,January,2018,0.0
Yadadri Bhongir,2018-02-01,February,2018,0.0
Yadadri Bhongir,2018-03-01,March,2018,0.0
Yadadri Bhongir,2018-04-01,April,2018,0.0
Yadadri Bhongir,2018-05-01,May,2018,0.0
Yadadri Bhongir,2018-06-01,June,2018,0.0
Yadadri Bhongir,2018-07-01,July,2018,0.0
Yadadri Bhongir,2018-08-01,August,2018,0.0
Yadadri Bhongir,2018-09-01,September,2018,0.0
Yadadri Bhongir,2018-10-01,October,2018,0.0
Yadadri Bhongir,2018-11-01,November,2018,0.0
Yadadri Bhongir,2018-12-01,December,2018,0.0
Adilabad,2019-01-01,January,2019,0.0
Adilabad,2019-02-01,February,2019,2.0
Adilabad,2019-03-01,March,2019,0.0
Adilabad,2019-04-01,April,2019,0.0
Adilabad,2019-05-01,May,2019,0.0
Adilabad,2019-06-01,June,2019,0.0
Adilabad,2019-07-01,July,2019,0.0
Adilabad,2019-08-01,August,2019,2.0
Adilabad,2019-09-01,September,2019,0.0
Adilabad,2019-10-01,October,2019,0.0
Adilabad,2019-11-01,November,2019,2.0
Adilabad,2019-12-01,December,2019,0.0
Bhadradri Kothagudem,2019-01-01,January,2019,0.0
Bhadradri Kothagudem,2019-02-01,February,2019,0.0
Bhadradri Kothagudem,2019-03-01,March,2019,0.0
Bhadradri Kothagudem,2019-04-01,April,2019,0.0
Bhadradri Kothagudem,2019-05-01,May,2019,0.0
Bhadradri Kothagudem,2019-06-01,June,2019,0.0
Bhadradri Kothagudem,2019-07-01,July,2019,0.0
Bhadradri Kothagudem,2019-08-01,August,2019,0.0
Bhadradri Kothagudem,2019-09-01,September,2019,0.0
Bhadradri Kothagudem,2019-10-01,October,2019,0.0
Bhadradri Kothagudem,2019-11-01,November,2019,0.0
Bhadradri Kothagudem,2019-12-01,December,2019,0.0
Hyderabad,2019-01-01,January,2019,35920.0
Hyderabad,2019-02-01,February,2019,25621.0
Hyderabad,2019-03-01,March,2019,21929.0
Hyderabad,2019-04-01,April,2019,18267.0
Hyderabad,2019-05-01,May,2019,17317.0
Hyderabad,2019-06-01,June,2019,20077.0
Hyderabad,2019-07-01,July,2019,27874.0
Hyderabad,2019-08-01,August,2019,22725.0
Hyderabad,2019-09-01,September,2019,34018.0
Hyderabad,2019-10-01,October,2019,28706.0
Hyderabad,2019-11-01,November,2019,32762.0
Hyderabad,2019-12-01,December,2019,34084.0
Jagtial,2019-01-01,January,2019,0.0
Jagtial,2019-02-01,February,2019,0.0
Jagtial,2019-03-01,March,2019,0.0
Jagtial,2019-04-01,April,2019,0.0
Jagtial,2019-05-01,May,2019,0.0
Jagtial,2019-06-01,June,2019,0.0
Jagtial,2019-07-01,July,2019,0.0
Jagtial,2019-08-01,August,2019,0.0
Jagtial,2019-09-01,September,2019,0.0
Jagtial,2019-10-01,October,2019,0.0
Jagtial,2019-11-01,November,2019,0.0
Jagtial,2019-12-01,December,2019,0.0
Jangaon,2019-01-01,January,2019,0.0
Jangaon,2019-02-01,February,2019,0.0
Jangaon,2019-03-01,March,2019,0.0
Jangaon,2019-04-01,April,2019,0.0
Jangaon,2019-05-01,May,2019,0.0
Jangaon,2019-06-01,June,2019,0.0
Jangaon,2019-07-01,July,2019,0.0
Jangaon,2019-08-01,August,2019,0.0
Jangaon,2019-09-01,September,2019,0.0
Jangaon,2019-10-01,October,2019,0.0
Jangaon,2019-11-01,November,2019,0.0
Jangaon,2019-12-01,December,2019,0.0
Jayashankar Bhoopalpally,2019-01-01,January,2019,45.0
Jayashankar Bhoopalpally,2019-02-01,February,2019,0.0
Jayashankar Bhoopalpally,2019-03-01,March,2019,0.0
Jayashankar Bhoopalpally,2019-04-01,April,2019,0.0
Jayashankar Bhoopalpally,2019-05-01,May,2019,0.0
Jayashankar Bhoopalpally,2019-06-01,June,2019,0.0
Jayashankar Bhoopalpally,2019-07-01,July,2019,0.0
Jayashankar Bhoopalpally,2019-08-01,August,2019,0.0
Jayashankar Bhoopalpally,2019-09-01,September,2019,0.0
Jayashankar Bhoopalpally,2019-10-01,October,2019,0.0
Jayashankar Bhoopalpally,2019-11-01,November,2019,0.0
Jayashankar Bhoopalpally,2019-12-01,December,2019,0.0
Jogulamba Gadwal,2019-01-01,January,2019,36.0
Jogulamba Gadwal,2019-02-01,February,2019,6.0
Jogulamba Gadwal,2019-03-01,March,2019,22.0
Jogulamba Gadwal,2019-04-01,April,2019,16.0
Jogulamba Gadwal,2019-05-01,May,2019,20.0
Jogulamba Gadwal,2019-06-01,June,2019,22.0
Jogulamba Gadwal,2019-07-01,July,2019,37.0
Jogulamba Gadwal,2019-08-01,August,2019,42.0
Jogulamba Gadwal,2019-09-01,September,2019,25.0
Jogulamba Gadwal,2019-10-01,October,2019,13.0
Jogulamba Gadwal,2019-11-01,November,2019,45.0
Jogulamba Gadwal,2019-12-01,December,2019,11.0
Kamareddy,2019-01-01,January,2019,0.0
Kamareddy,2019-02-01,February,2019,0.0
Kamareddy,2019-03-01,March,2019,0.0
Kamareddy,2019-04-01,April,2019,0.0
Kamareddy,2019-05-01,May,2019,0.0
Kamareddy,2019-06-01,June,2019,0.0
Kamareddy,2019-07-01,July,2019,0.0
Kamareddy,2019-08-01,August,2019,0.0
Kamareddy,2019-09-01,September,2019,0.0
Kamareddy,2019-10-01,October,2019,0.0
Kamareddy,2019-11-01,November,2019,0.0
Kamareddy,2019-12-01,December,2019,0.0
Karimnagar,2019-01-01,January,2019,0.0
Karimnagar,2019-02-01,February,2019,0.0
Karimnagar,2019-03-01,March,2019,0.0
Karimnagar,2019-04-01,April,2019,0.0
Karimnagar,2019-05-01,May,2019,0.0
Karimnagar,2019-06-01,June,2019,0.0
Karimnagar,2019-07-01,July,2019,0.0
Karimnagar,2019-08-01,August,2019,0.0
Karimnagar,2019-09-01,September,2019,0.0
Karimnagar,2019-10-01,October,2019,0.0
Karimnagar,2019-11-01,November,2019,0.0
Karimnagar,2019-12-01,December,2019,0.0
Khammam,2019-01-01,January,2019,0.0
Khammam,2019-02-01,February,2019,0.0
Khammam,2019-03-01,March,2019,0.0
Khammam,2019-04-01,April,2019,0.0
Khammam,2019-05-01,May,2019,0.0
Khammam,2019-06-01,June,2019,0.0
Khammam,2019-07-01,July,2019,0.0
Khammam,2019-08-01,August,2019,0.0
Khammam,2019-09-01,September,2019,0.0
Khammam,2019-10-01,October,2019,0.0
Khammam,2019-11-01,November,2019,0.0
Khammam,2019-12-01,December,2019,0.0
Komaram Bheem Asifabad,2019-01-01,January,2019,0.0
Komaram Bheem Asifabad,2019-02-01,February,2019,0.0
Komaram Bheem Asifabad,2019-03-01,March,2019,0.0
Komaram Bheem Asifabad,2019-04-01,April,2019,0.0
Komaram Bheem Asifabad,2019-05-01,May,2019,0.0
Komaram Bheem Asifabad,2019-06-01,June,2019,0.0
Komaram Bheem Asifabad,2019-07-01,July,2019,0.0
Komaram Bheem Asifabad,2019-08-01,August,2019,0.0
Komaram Bheem Asifabad,2019-09-01,September,2019,0.0
Komaram Bheem Asifabad,2019-10-01,October,2019,0.0
Komaram Bheem Asifabad,2019-11-01,November,2019,0.0
Komaram Bheem Asifabad,2019-12-01,December,2019,0.0
Mahabubabad,2019-01-01,January,2019,0.0
Mahabubabad,2019-02-01,February,2019,0.0
Mahabubabad,2019-03-01,March,2019,0.0
Mahabubabad,2019-04-01,April,2019,0.0
Mahabubabad,2019-05-01,May,2019,0.0
Mahabubabad,2019-06-01,June,2019,0.0
Mahabubabad,2019-07-01,July,2019,0.0
Mahabubabad,2019-08-01,August,2019,0.0
Mahabubabad,2019-09-01,September,2019,0.0
Mahabubabad,2019-10-01,October,2019,0.0
Mahabubabad,2019-11-01,November,2019,0.0
Mahabubabad,2019-12-01,December,2019,0.0
Mahbubnagar,2019-01-01,January,2019,45.0
Mahbubnagar,2019-02-01,February,2019,29.0
Mahbubnagar,2019-03-01,March,2019,28.0
Mahbubnagar,2019-04-01,April,2019,34.0
Mahbubnagar,2019-05-01,May,2019,20.0
Mahbubnagar,2019-06-01,June,2019,28.0
Mahbubnagar,2019-07-01,July,2019,47.0
Mahbubnagar,2019-08-01,August,2019,44.0
Mahbubnagar,2019-09-01,September,2019,34.0
Mahbubnagar,2019-10-01,October,2019,37.0
Mahbubnagar,2019-11-01,November,2019,68.0
Mahbubnagar,2019-12-01,December,2019,26.0
Mancherial,2019-01-01,January,2019,0.0
Mancherial,2019-02-01,February,2019,0.0
Mancherial,2019-03-01,March,2019,0.0
Mancherial,2019-04-01,April,2019,0.0
Mancherial,2019-05-01,May,2019,0.0
Mancherial,2019-06-01,June,2019,0.0
Mancherial,2019-07-01,July,2019,0.0
Mancherial,2019-08-01,August,2019,0.0
Mancherial,2019-09-01,September,2019,0.0
Mancherial,2019-10-01,October,2019,0.0
Mancherial,2019-11-01,November,2019,10.0
Mancherial,2019-12-01,December,2019,0.0
Medak,2019-01-01,January,2019,0.0
Medak,2019-02-01,February,2019,0.0
Medak,2019-03-01,March,2019,0.0
Medak,2019-04-01,April,2019,0.0
Medak,2019-05-01,May,2019,0.0
Medak,2019-06-01,June,2019,0.0
Medak,2019-07-01,July,2019,0.0
Medak,2019-08-01,August,2019,0.0
Medak,2019-09-01,September,2019,0.0
Medak,2019-10-01,October,2019,0.0
Medak,2019-11-01,November,2019,0.0
Medak,2019-12-01,December,2019,0.0
Medchal,2019-01-01,January,2019,0.0
Medchal,2019-02-01,February,2019,0.0
Medchal,2019-03-01,March,2019,0.0
Medchal,2019-04-01,April,2019,0.0
Medchal,2019-05-01,May,2019,0.0
Medchal,2019-06-01,June,2019,0.0
Medchal,2019-07-01,July,2019,0.0
Medchal,2019-08-01,August,2019,0.0
Medchal,2019-09-01,September,2019,0.0
Medchal,2019-10-01,October,2019,0.0
Medchal,2019-11-01,November,2019,0.0
Medchal,2019-12-01,December,2019,0.0
Mulugu,2019-01-01,January,2019,0.0
Mulugu,2019-02-01,February,2019,45.0
Mulugu,2019-03-01,March,2019,40.0
Mulugu,2019-04-01,April,2019,40.0
Mulugu,2019-05-01,May,2019,40.0
Mulugu,2019-06-01,June,2019,50.0
Mulugu,2019-07-01,July,2019,55.0
Mulugu,2019-08-01,August,2019,50.0
Mulugu,2019-09-01,September,2019,60.0
Mulugu,2019-10-01,October,2019,60.0
Mulugu,2019-11-01,November,2019,70.0
Mulugu,2019-12-01,December,2019,65.0
Nagarkurnool,2019-01-01,January,2019,35.0
Nagarkurnool,2019-02-01,February,2019,15.0
Nagarkurnool,2019-03-01,March,2019,14.0
Nagarkurnool,2019-04-01,April,2019,18.0
Nagarkurnool,2019-05-01,May,2019,14.0
Nagarkurnool,2019-06-01,June,2019,14.0
Nagarkurnool,2019-07-01,July,2019,17.0
Nagarkurnool,2019-08-01,August,2019,22.0
Nagarkurnool,2019-09-01,September,2019,7.0
Nagarkurnool,2019-10-01,October,2019,3.0
Nagarkurnool,2019-11-01,November,2019,30.0
Nagarkurnool,2019-12-01,December,2019,10.0
Nalgonda,2019-01-01,January,2019,0.0
Nalgonda,2019-02-01,February,2019,0.0
Nalgonda,2019-03-01,March,2019,0.0
Nalgonda,2019-04-01,April,2019,0.0
Nalgonda,2019-05-01,May,2019,0.0
Nalgonda,2019-06-01,June,2019,0.0
Nalgonda,2019-07-01,July,2019,0.0
Nalgonda,2019-08-01,August,2019,0.0
Nalgonda,2019-09-01,September,2019,0.0
Nalgonda,2019-10-01,October,2019,0.0
Nalgonda,2019-11-01,November,2019,0.0
Nalgonda,2019-12-01,December,2019,0.0
Narayanpet,2019-01-01,January,2019,0.0
Narayanpet,2019-02-01,February,2019,0.0
Narayanpet,2019-03-01,March,2019,0.0
Narayanpet,2019-04-01,April,2019,0.0
Narayanpet,2019-05-01,May,2019,0.0
Narayanpet,2019-06-01,June,2019,0.0
Narayanpet,2019-07-01,July,2019,0.0
Narayanpet,2019-08-01,August,2019,0.0
Narayanpet,2019-09-01,September,2019,0.0
Narayanpet,2019-10-01,October,2019,0.0
Narayanpet,2019-11-01,November,2019,0.0
Narayanpet,2019-12-01,December,2019,5.0
Nirmal,2019-01-01,January,2019,0.0
Nirmal,2019-02-01,February,2019,0.0
Nirmal,2019-03-01,March,2019,0.0
Nirmal,2019-04-01,April,2019,0.0
Nirmal,2019-05-01,May,2019,0.0
Nirmal,2019-06-01,June,2019,0.0
Nirmal,2019-07-01,July,2019,0.0
Nirmal,2019-08-01,August,2019,0.0
Nirmal,2019-09-01,September,2019,0.0
Nirmal,2019-10-01,October,2019,0.0
Nirmal,2019-11-01,November,2019,0.0
Nirmal,2019-12-01,December,2019,0.0
Nizamabad,2019-01-01,January,2019,0.0
Nizamabad,2019-02-01,February,2019,1.0
Nizamabad,2019-03-01,March,2019,0.0
Nizamabad,2019-04-01,April,2019,0.0
Nizamabad,2019-05-01,May,2019,0.0
Nizamabad,2019-06-01,June,2019,0.0
Nizamabad,2019-07-01,July,2019,0.0
Nizamabad,2019-08-01,August,2019,0.0
Nizamabad,2019-09-01,September,2019,0.0
Nizamabad,2019-10-01,October,2019,0.0
Nizamabad,2019-11-01,November,2019,0.0
Nizamabad,2019-12-01,December,2019,0.0
Peddapalli,2019-01-01,January,2019,0.0
Peddapalli,2019-02-01,February,2019,0.0
Peddapalli,2019-03-01,March,2019,0.0
Peddapalli,2019-04-01,April,2019,0.0
Peddapalli,2019-05-01,May,2019,0.0
Peddapalli,2019-06-01,June,2019,0.0
Peddapalli,2019-07-01,July,2019,0.0
Peddapalli,2019-08-01,August,2019,0.0
Peddapalli,2019-09-01,September,2019,0.0
Peddapalli,2019-10-01,October,2019,0.0
Peddapalli,2019-11-01,November,2019,0.0
Peddapalli,2019-12-01,December,2019,0.0
Rajanna Sircilla,2019-01-01,January,2019,0.0
Rajanna Sircilla,2019-02-01,February,2019,0.0
Rajanna Sircilla,2019-03-01,March,2019,0.0
Rajanna Sircilla,2019-04-01,April,2019,0.0
Rajanna Sircilla,2019-05-01,May,2019,0.0
Rajanna Sircilla,2019-06-01,June,2019,0.0
Rajanna Sircilla,2019-07-01,July,2019,0.0
Rajanna Sircilla,2019-08-01,August,2019,0.0
Rajanna Sircilla,2019-09-01,September,2019,0.0
Rajanna Sircilla,2019-10-01,October,2019,0.0
Rajanna Sircilla,2019-11-01,November,2019,0.0
Rajanna Sircilla,2019-12-01,December,2019,0.0
Ranga Reddy,2019-01-01,January,2019,0.0
Ranga Reddy,2019-02-01,February,2019,0.0
Ranga Reddy,2019-03-01,March,2019,0.0
Ranga Reddy,2019-04-01,April,2019,0.0
Ranga Reddy,2019-05-01,May,2019,0.0
Ranga Reddy,2019-06-01,June,2019,0.0
Ranga Reddy,2019-07-01,July,2019,0.0
Ranga Reddy,2019-08-01,August,2019,0.0
Ranga Reddy,2019-09-01,September,2019,0.0
Ranga Reddy,2019-10-01,October,2019,0.0
Ranga Reddy,2019-11-01,November,2019,0.0
Ranga Reddy,2019-12-01,December,2019,0.0
Sangareddy,2019-01-01,January,2019,0.0
Sangareddy,2019-02-01,February,2019,0.0
Sangareddy,2019-03-01,March,2019,0.0
Sangareddy,2019-04-01,April,2019,0.0
Sangareddy,2019-05-01,May,2019,0.0
Sangareddy,2019-06-01,June,2019,0.0
Sangareddy,2019-07-01,July,2019,0.0
Sangareddy,2019-08-01,August,2019,0.0
Sangareddy,2019-09-01,September,2019,0.0
Sangareddy,2019-10-01,October,2019,0.0
Sangareddy,2019-11-01,November,2019,0.0
Sangareddy,2019-12-01,December,2019,0.0
Siddipet,2019-01-01,January,2019,0.0
Siddipet,2019-02-01,February,2019,0.0
Siddipet,2019-03-01,March,2019,0.0
Siddipet,2019-04-01,April,2019,0.0
Siddipet,2019-05-01,May,2019,0.0
Siddipet,2019-06-01,June,2019,0.0
Siddipet,2019-07-01,July,2019,0.0
Siddipet,2019-08-01,August,2019,0.0
Siddipet,2019-09-01,September,2019,0.0
Siddipet,2019-10-01,October,2019,0.0
Siddipet,2019-11-01,November,2019,0.0
Siddipet,2019-12-01,December,2019,0.0
Suryapet,2019-01-01,January,2019,0.0
Suryapet,2019-02-01,February,2019,0.0
Suryapet,2019-03-01,March,2019,0.0
Suryapet,2019-04-01,April,2019,0.0
Suryapet,2019-05-01,May,2019,0.0
Suryapet,2019-06-01,June,2019,0.0
Suryapet,2019-07-01,July,2019,0.0
Suryapet,2019-08-01,August,2019,0.0
Suryapet,2019-09-01,September,2019,0.0
Suryapet,2019-10-01,October,2019,0.0
Suryapet,2019-11-01,November,2019,0.0
Suryapet,2019-12-01,December,2019,0.0
Vikarabad,2019-01-01,January,2019,0.0
Vikarabad,2019-02-01,February,2019,0.0
Vikarabad,2019-03-01,March,2019,0.0
Vikarabad,2019-04-01,April,2019,0.0
Vikarabad,2019-05-01,May,2019,0.0
Vikarabad,2019-06-01,June,2019,0.0
Vikarabad,2019-07-01,July,2019,0.0
Vikarabad,2019-08-01,August,2019,0.0
Vikarabad,2019-09-01,September,2019,0.0
Vikarabad,2019-10-01,October,2019,0.0
Vikarabad,2019-11-01,November,2019,0.0
Vikarabad,2019-12-01,December,2019,0.0
Wanaparthy,2019-01-01,January,2019,0.0
Wanaparthy,2019-02-01,February,2019,0.0
Wanaparthy,2019-03-01,March,2019,0.0
Wanaparthy,2019-04-01,April,2019,0.0
Wanaparthy,2019-05-01,May,2019,0.0
Wanaparthy,2019-06-01,June,2019,0.0
Wanaparthy,2019-07-01,July,2019,0.0
Wanaparthy,2019-08-01,August,2019,0.0
Wanaparthy,2019-09-01,September,2019,0.0
Wanaparthy,2019-10-01,October,2019,0.0
Wanaparthy,2019-11-01,November,2019,0.0
Wanaparthy,2019-12-01,December,2019,0.0
Warangal (Rural),2019-01-01,January,2019,0.0
Warangal (Rural),2019-02-01,February,2019,0.0
Warangal (Rural),2019-03-01,March,2019,0.0
Warangal (Rural),2019-04-01,April,2019,0.0
Warangal (Rural),2019-05-01,May,2019,0.0
Warangal (Rural),2019-06-01,June,2019,0.0
Warangal (Rural),2019-07-01,July,2019,0.0
Warangal (Rural),2019-08-01,August,2019,0.0
Warangal (Rural),2019-09-01,September,2019,0.0
Warangal (Rural),2019-10-01,October,2019,0.0
Warangal (Rural),2019-11-01,November,2019,0.0
Warangal (Rural),2019-12-01,December,2019,0.0
Warangal (Urban),2019-01-01,January,2019,175.0
Warangal (Urban),2019-02-01,February,2019,200.0
Warangal (Urban),2019-03-01,March,2019,200.0
Warangal (Urban),2019-04-01,April,2019,190.0
Warangal (Urban),2019-05-01,May,2019,175.0
Warangal (Urban),2019-06-01,June,2019,195.0
Warangal (Urban),2019-07-01,July,2019,185.0
Warangal (Urban),2019-08-01,August,2019,230.0
Warangal (Urban),2019-09-01,September,2019,240.0
Warangal (Urban),2019-10-01,October,2019,220.0
Warangal (Urban),2019-11-01,November,2019,230.0
Warangal (Urban),2019-12-01,December,2019,210.0
Yadadri Bhongir,2019-01-01,January,2019,0.0
Yadadri Bhongir,2019-02-01,February,2019,0.0
Yadadri Bhongir,2019-03-01,March,2019,0.0
Yadadri Bhongir,2019-04-01,April,2019,0.0
Yadadri Bhongir,2019-05-01,May,2019,0.0
Yadadri Bhongir,2019-06-01,June,2019,0.0
Yadadri Bhongir,2019-07-01,July,2019,0.0
Yadadri Bhongir,2019-08-01,August,2019,0.0
Yadadri Bhongir,2019-09-01,September,2019,0.0
Yadadri Bhongir,2019-10-01,October,2019,0.0
Yadadri Bhongir,2019-11-01,November,2019,0.0
Yadadri Bhongir,2019-12-01,December,2019,0.0
