district,visitor_type,in_2016_visitors,by_2019_visitors,CAGR,by_2025_visitors
Hyderabad,domestic,23394705.0,13802362.0,-16.13 %,444436.0
Hyderabad,foreign,163631.0,319300.0,24.96 %,797484.0
